Timestamp,BR_10s (bpm)
00:00:15,18.0
00:00:30,20.0
00:00:45,16.0
00:01:00,18.0
00:01:15,18.0
00:01:30,18.0
00:01:45,20.0
00:02:00,20.0
00:02:15,18.0
00:02:30,16.0
00:02:45,18.0
00:03:00,20.0
00:03:15,18.0
00:03:30,18.0
00:03:45,18.0
00:04:00,20.0
00:04:15,20.0
00:04:30,18.0
00:04:45,20.0
00:05:00,18.0
00:05:15,18.0
00:05:30,18.0
00:05:45,18.0
00:06:00,18.0
00:06:15,12.0
00:06:30,18.0
00:06:45,18.0
00:07:00,12.0
00:07:15,12.0
00:07:30,12.0
00:07:45,12.0
00:08:00,12.0
00:08:15,12.0
00:08:30,12.0
00:08:45,18.0
00:09:00,14.0
00:09:15,14.0
00:09:30,12.0
00:09:45,24.0
00:10:00,16.0
00:10:15,14.0
00:10:30,12.0
00:10:45,14.0
00:11:00,14.0
00:11:15,18.0
00:11:30,18.0
00:11:45,18.0
00:12:00,18.0
00:12:15,18.0
00:12:30,18.0
00:12:45,18.0
00:13:00,18.0
00:13:15,18.0
00:13:30,18.0
00:13:45,18.0
00:14:00,18.0
00:14:15,12.0
00:14:30,14.0
00:14:45,16.0
00:15:00,18.0
00:15:15,18.0
00:15:30,12.0
00:15:45,22.0
00:16:00,18.0
00:16:15,12.0
00:16:30,12.0
00:16:45,12.0
00:17:00,12.0
00:17:15,12.0
00:17:30,12.0
00:17:45,12.0
00:18:00,12.0
00:18:15,12.0
00:18:30,12.0
00:18:45,12.0
00:19:00,12.0
00:19:15,14.0
00:19:30,18.0
00:19:45,18.0
00:20:00,14.0
00:20:15,14.0
00:20:30,12.0
00:20:45,18.0
00:21:00,16.0
00:21:15,14.0
00:21:30,16.0
00:21:45,14.0
00:22:00,16.0
00:22:15,16.0
00:22:30,16.0
00:22:45,14.0
00:23:00,16.0
00:23:15,16.0
00:23:30,14.0
00:23:45,16.0
00:24:00,14.0
00:24:15,14.0
00:24:30,12.0
00:24:45,14.0
00:25:00,14.0
00:25:15,14.0
00:25:30,16.0
00:25:45,14.0
00:26:00,16.0
00:26:15,14.0
00:26:30,16.0
00:26:45,16.0
00:27:00,16.0
00:27:15,16.0
00:27:30,14.0
00:27:45,14.0
00:28:00,16.0
00:28:15,16.0
00:28:30,16.0
00:28:45,14.0
00:29:00,16.0
00:29:15,18.0
00:29:30,14.0
00:29:45,14.0
00:30:00,12.0
00:30:15,14.0
00:30:30,14.0
00:30:45,12.0
00:31:00,30.0
00:31:15,30.0
00:31:30,30.0
00:31:45,30.0
00:32:00,30.0
00:32:15,30.0
00:32:30,30.0
00:32:45,30.0
00:33:00,30.0
00:33:15,30.0
00:33:30,30.0
00:33:45,30.0
00:34:00,30.0
00:34:15,12.0
00:34:30,14.0
00:34:45,14.0
00:35:00,18.0
00:35:15,12.0
00:35:30,14.0
00:35:45,14.0
00:36:00,16.0
00:36:15,12.0
00:36:30,12.0
00:36:45,12.0
00:37:00,18.0
00:37:15,18.0
00:37:30,18.0
00:37:45,18.0
00:38:00,12.0
00:38:15,12.0
00:38:30,12.0
00:38:45,12.0
00:39:00,12.0
00:39:15,14.0
00:39:30,16.0
00:39:45,14.0
00:40:00,14.0
00:40:15,12.0
00:40:30,12.0
00:40:45,16.0
00:41:00,14.0
00:41:15,14.0
00:41:30,16.0
00:41:45,16.0
00:42:00,14.0
00:42:15,22.0
00:42:30,22.0
00:42:45,24.0
00:43:00,12.0
00:43:15,14.0
00:43:30,16.0
00:43:45,16.0
00:44:00,16.0
00:44:15,16.0
00:44:30,20.0
00:44:45,18.0
00:45:00,20.0
00:45:15,28.0
00:45:30,12.0
00:45:45,14.0
00:46:00,14.0
00:46:15,14.0
00:46:30,16.0
00:46:45,14.0
00:47:00,14.0
00:47:15,16.0
00:47:30,20.0
00:47:45,18.0
00:48:00,18.0
00:48:15,28.0
00:48:30,30.0
00:48:45,30.0
00:49:00,30.0
00:49:15,18.0
00:49:30,16.0
00:49:45,14.0
00:50:00,14.0
00:50:15,12.0
00:50:30,12.0
00:50:45,14.0
00:51:00,14.0
00:51:15,14.0
00:51:30,18.0
